"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"28303",-1.17905405405405,6.09137162162162,-15.3279000305682,1.56398005201007e-39,8.60741021565072e-37,79.136206845205
"34432",-2.05390540540541,7.43435135135135,-15.1679137654994,6.204405566241e-39,2.90242092388754e-36,77.7721393394316
"24013",-2.83031756756756,8.48442905405405,-14.7775854497504,1.77603917305264e-37,6.39100865503095e-35,74.4518564675231
"12130",-2.24364864864865,10.4049797297297,-14.6920837226043,3.69691917070893e-37,1.28105095411677e-34,73.726188793105
"42238",-2.04791216216217,12.2332398648649,-14.6729189767149,4.35678824009557e-37,1.45578967051194e-34,73.5636224791002
"18419",-1.6336891891892,11.0571554054054,-14.6654666497583,4.64406545842453e-37,1.49827160100069e-34,73.5004164665615
"38291",-1.6223445945946,12.6140641891892,-14.6544867558206,5.10214937819039e-37,1.59119031941164e-34,73.4073009346411
"55804",-2.03543243243244,11.9890810810811,-14.5946556488633,8.51713330135808e-37,2.41473633840928e-34,72.9000935345261
"7646",-1.65750675675676,11.581597972973,-14.5651726426504,1.09623013765882e-36,3.0165674023341e-34,72.6502787450164
"27015",-1.57537162162162,11.3538277027027,-14.5593713955334,1.15203246823393e-36,3.07954736365618e-34,72.6011333733968
"54652",-1.76266216216217,9.89391891891892,-14.5149157688138,1.68522593430019e-36,4.37971495592017e-34,72.2246331968101
"39791",-2.57508783783784,9.93991554054054,-14.369583686213,5.83596085591213e-36,1.35148524853456e-33,70.9951531232749
"18146",-2.35027702702703,7.61842905405405,-14.367859990175,5.92249841704968e-36,1.35148524853456e-33,70.9805838257385
"20610",-2.28660810810812,10.1995743243243,-14.3218625520362,8.77089242024506e-36,1.90838301125146e-33,70.5919112560171
"18029",-2.17227027027027,8.99818918918919,-14.3101568887767,9.69232596779319e-36,2.06094094896984e-33,70.4930353500968
"30254",-1.81231756756757,8.31956418918919,-14.2646445433576,1.42905338861538e-35,2.97116077864122e-33,70.1087385473233
"36643",-2.35067567567567,7.10243243243243,-14.2390118400179,1.77817065231503e-35,3.61664448327379e-33,69.8923997330051
"27156",-1.93002027027028,13.6681452702703,-14.2167789825057,2.149228845733e-35,4.18920522514123e-33,69.7048136636941
"27691",-1.40738513513513,10.6588277027027,-14.19774881685,2.5276462603979e-35,4.82625681883322e-33,69.5442931390821
"7662",-1.35223648648649,6.77044932432432,-14.1819932750121,2.89079191075918e-35,5.40924982341257e-33,69.4114247610086
"50912",-2.39393243243243,8.21597972972973,-14.1546603722596,3.64862042881015e-35,6.56471014075919e-33,69.1809892440821
"37440",-2.77970945945945,9.60809797297297,-14.1231931551862,4.76967819557042e-35,8.41983192410506e-33,68.9158035570038
