"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"54725",1.79597297297297,8.01867567567568,17.4709887057629,1.36706667647759e-47,1.27902758251243e-43,97.5018863695218
"11265",3.04863513513514,7.74520945945946,16.9264155879724,1.53839216742074e-45,7.19659855919423e-42,92.8274448397534
"56171",2.63307432432432,7.29490202702703,15.9105623277324,1.02152025565576e-41,3.18578117063843e-38,84.1163358136489
"9674",1.22878378378378,11.0815810810811,15.8743028138105,1.39774736338637e-41,3.26933108296071e-38,83.8059471157992
"16019",2.31908108108108,6.15366216216216,15.8385370195196,1.90428737349125e-41,3.56330253327682e-38,83.4998378396471
"57269",2.33267567567568,9.02643918918919,15.743700533013,4.32248206587557e-41,6.74019036805531e-38,82.6884272228183
"24670",2.26891216216217,14.5252398648649,15.5940223604768,1.57478801197366e-40,2.10481666286079e-37,81.4086527390725
"19118",1.95980405405405,9.18095608108108,15.551287274955,2.2774201706123e-40,2.47896544809812e-37,81.0434674365532
"31926",2.27716891891891,7.87811148648649,15.5416456614736,2.47505760847561e-40,2.47896544809812e-37,80.9610900635469
"42354",2.32422297297297,6.62792905405405,15.5299056548294,2.73898994365444e-40,2.47896544809812e-37,80.860790894438
"21691",2.18654054054054,5.48830405405405,15.5227066321432,2.91455963329193e-40,2.47896544809812e-37,80.7992907032257
"11951",1.26970270270271,11.1128783783784,15.4690756874555,4.62963171233863e-40,3.36854239715195e-37,80.3412193026885
"25515",1.97779054054054,10.0253885135135,15.4678082376793,4.6805313342214e-40,3.36854239715195e-37,80.3303957343417
"49770",2.58489189189189,9.16042567567568,15.4492000398563,5.49552597233173e-40,3.67258149979541e-37,80.1714988860579
"24739",2.15315540540541,5.96886148648649,15.430361171496,6.46515097378495e-40,4.03253016738213e-37,80.0106525575541
"8128",1.76143918918919,7.19236148648649,15.3316497050965,1.51424437141037e-39,8.60741021565072e-37,79.1681968732802
"36151",2.29420270270271,6.74832432432432,15.3157095130256,1.73723410357448e-39,9.02975681835711e-37,79.032210536461
"16328",3.64070945945946,8.98092905405405,15.2677656023303,2.62581898158333e-39,1.29300854693125e-36,78.6232959583119
"57014",1.86010135135135,8.140125,15.0801526553196,1.32029528208432e-38,5.88222983770518e-36,77.0246102053733
"15400",2.05472972972973,5.89727027027027,14.9783979261469,3.16688544424462e-38,1.34679000983421e-35,76.1585852613626
"30991",1.58325675675676,6.03134459459459,14.9219862348779,5.14198792914989e-38,2.09167126370115e-35,75.6788091895709
"55696",1.94866891891891,7.2974222972973,14.8547328531107,9.16098150574974e-38,3.57125595699144e-35,75.1071543418682
"30929",1.68485810810811,6.30988175675676,14.7776407651565,1.77519665428994e-37,6.39100865503095e-35,74.4523261431016
"6848",1.89814864864865,9.40828378378378,14.6202081716109,6.84335333977801e-37,2.06536818861171e-34,73.1166701832784
"5849",1.90316216216216,9.46991891891892,14.5951478142754,8.48131967378467e-37,2.41473633840928e-34,72.9042644305606
"35157",1.80502702702703,6.96230405405405,14.4363353090559,3.2995344460036e-36,8.34336331805667e-34,71.5595957615921
"35908",2.70042567567568,7.69242905405405,14.4240843032097,3.66370619057212e-36,8.99759829020983e-34,71.4559690339316
"50503",1.88452702702702,6.03011486486487,14.4213410405021,3.75060210900153e-36,8.99759829020983e-34,71.4327668607597
"43601",1.91439189189189,6.12452702702703,14.3279135138548,8.32942246892363e-36,1.85547801474404e-33,70.6430284601727
"24041",2.03523648648649,6.73730067567568,14.2168121888999,2.14862064105414e-35,4.18920522514123e-33,69.7050937965742
"40118",1.66575675675676,4.88381756756757,14.1760039751161,3.04211759546375e-35,5.58079455356056e-33,69.3609235667742
"26626",1.74191891891892,5.5100472972973,13.9250517006049,2.57054924419525e-34,4.00834312144845e-32,67.2486683935834
"35825",1.79643918918919,4.5813277027027,13.9072668497517,2.98941771532761e-34,4.58508067944346e-32,67.0992625342168
"26684",1.00101351351351,10.4501621621622,13.8720241672537,4.03136151661539e-34,6.08345457249251e-32,66.8033154452007
"41921",1.63505405405405,5.42529054054054,13.8262712395701,5.94215624928586e-34,8.55304828743362e-32,66.4193454283614
"27321",1.84337837837838,6.59964864864865,13.7803334072063,8.7700021485297e-34,1.22465880748722e-31,66.0340961468591
"61410",1.63593243243244,6.03225,13.6887290685671,1.90437478211314e-33,2.4407302001987e-31,65.2667073598681
"43170",1.24904054054054,7.70642567567568,13.5569949676571,5.79641843742372e-33,6.69522109883165e-31,64.1651580818531
"31425",2.09893918918919,5.75469932432432,13.4763987828533,1.14390150399939e-32,1.2444584269091e-30,63.492435963076
"50774",1.50888513513514,6.15480743243243,13.3472066345552,3.39440165665658e-32,3.37851296805096e-30,62.4160981580841
"35733",1.08868918918919,5.05441216216216,13.2515099909859,7.58498900265152e-32,7.02625317908987e-30,61.6204719053039
"19503",1.65280405405405,8.32830743243243,13.2432113474031,8.13217997531049e-32,7.3868617329131e-30,61.5515445784774
"6190",1.93326351351352,11.6428209459459,13.198288016919,1.18546541215717e-31,1.00829221783114e-29,61.1786094225169
"50582",1.91198648648649,7.67439189189189,13.1292397409115,2.1144483944447e-31,1.73533150687935e-29,60.6060377612683
"42024",1.37905405405405,5.68518918918919,13.0425787859754,4.36643040047438e-31,3.43296830477633e-29,59.888535922448
"23607",1.29045270270271,8.91685472972973,13.0094611912259,5.75880899440619e-31,4.4528443761706e-29,59.6146777869525
"39427",1.90155405405406,5.58231081081081,12.9163995070869,1.25221447169499e-30,9.26869561453187e-29,58.8461441009346
"3918",1.12447972972973,10.6774628378378,12.9158324918298,1.25814914818891e-30,9.26869561453187e-29,58.8414661689492
"22992",1.45193243243243,6.7890472972973,12.8777479574955,1.72820975682178e-30,1.22493412763822e-28,58.52739613558
"18850",1.4700472972973,7.69464527027027,12.8729211829948,1.79912440493214e-30,1.26560961898836e-28,58.4876099262235
"25984",1.51576351351351,7.0585777027027,12.8600945620057,2.00199533201725e-30,1.39781106913085e-28,58.3819028454989
"39938",1.39379054054054,5.44693581081081,12.8322914401001,2.52348272205673e-30,1.74886698870836e-28,58.1528732093708
"50116",1.56598648648648,7.2005472972973,12.8274690680192,2.62683076826987e-30,1.80710504911271e-28,58.1131629705811
"24749",1.51826351351351,6.94032094594595,12.7603274790691,4.5913751279593e-30,2.94225381487584e-28,57.5607233994949
"11145",2.34823648648648,6.05778716216216,12.6937159890006,7.98329741164539e-30,4.97944870555695e-28,57.0134752179252
